1027	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	2	3	4	
Non-Redundancy	3	2	2	
Referential Clarity	2	3	3	
Focus	1	5	4	
Structure	2	3	3	
Coherence	2	3	3	
Readability	2	4	3	
Information Content	2	3	4	
Spelling	3	1	3	
Length	2	3	3	
Overall Quality	1	4	4	
