1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	4	3	4		
Non-Redundancy	5	4	4		
Referential Clarity	4	4	4		
Focus	4	4	3		
Structure	3	5	3		
Coherence	4	4	3		
Readability	4	3	4		
Information Content	4	4	5		
Spelling	4	4	3	co signer instead of co-signer	
Length	4	3	2		
Overall Quality	4	4	5		
