1013	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	4	3	4	
Referential Clarity	4	4	4	
Focus	4	4	2	
Structure	4	3	2	
Coherence	3	3	2	
Readability	4	4	2	
Information Content	4	5	1	
Spelling	5	2	4	
Length	3	5	5	
Overall Quality	3	5	4	
