1012	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	4	4	3	
Referential Clarity	3	5	4	
Focus	4	5	4	
Structure	4	5	4	
Coherence	3	5	3	
Readability	3	5	5	
Information Content	4	4	4	
Spelling	5	3	5	
Length	4	5	5	
Overall Quality	4	5	5	
