1010	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	3	4	
Referential Clarity	2	5	5	"used ""I"", who is ""Chris""?"
Focus	3	1	3	
Structure	3	5	5	good beginning, bad ending
Coherence	2	4	3	
Readability	3	3	3	
Information Content	4	3	3	
Spelling	5	2	5	
Length	4	4	4	
Overall Quality	3	2	3	
