1037	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	3	4	4	2 + 3 are no complete sentences	
Non-Redundancy	4	4	4		
Referential Clarity	5	4	3		
Focus	3	5	4		
Structure	2	4	4		
Coherence	3	4	3		
Readability	3	4	5		
Information Content	4	3	5		
Spelling	5	5	3		
Length	4	3	2		
Overall Quality	3	4	5		
