1016	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	4	5	5	
Referential Clarity	4	5	5	One abbreviartion is not defined
Focus	5	4	4	
Structure	4	4	4	
Coherence	4	4	3	
Readability	4	4	5	
Information Content	4	3	4	
Spelling	5	4	4	
Length	1	4	5	too much chars
Overall Quality	4	5	4	
