1045	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	5	
Referential Clarity	4	5	4	Unclear “such” in the first sentence
Focus	4	5	3	
Structure	4	4	3	The first sentence is much more in detail than others.
Coherence	3	4	4	No good relationship between the sentences
Readability	5	4	4	
Information Content	4	5	3	No gain of information in the 4th sentence
Spelling	4	4	4	Code error in the first sentence
Length	5	5	5	
Overall Quality	4	5	4	
