1002	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	4	4	4	
Referential Clarity	4	4	4	
Focus	3	4	4	
Structure	3	4	4	
Coherence	4	4	4	
Readability	3	4	4	
Information Content	3	4	4	
Spelling	3	3	4	last sentence: only one quotation mark
Length	4	3	4	
Overall Quality	3	4	3	
