1003	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	5	4	4	
Referential Clarity	3	5	5	line 5 and 6: they
Focus	3	4	4	line 6 and 8
Structure	3	4	4	
Coherence	4	4	4	
Readability	4	4	4	
Information Content	4	4	4	
Spelling	5	4	4	
Length	3	3	4	
Overall Quality	3	4	4	
