1015	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	4	
Non-Redundancy	4	2	3	
Referential Clarity	1	5	5	some sentences are totaly out of context
Focus	3	2	4	
Structure	3	2	4	
Coherence	3	2	4	
Readability	5	2	5	
Information Content	2	4	4	
Spelling	5	2	5	
Length	2	3	4	
Overall Quality	2	3	5	
