1037	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	2	4	4	One sentence begins with short letter and one header with bullet point
Non-Redundancy	5	5	5	
Referential Clarity	4	5	5	
Focus	4	4	4	
Structure	4	4	4	
Coherence	3	4	3	
Readability	3	4	5	One sentence begins with short letter and one header with bullet point
Information Content	4	3	4	
Spelling	2	4	4	One sentence begins with short letter and one header with bullet point
Length	4	4	5	One very long sentence
Overall Quality	3	5	4	
