1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Reasons/comments (free text)	
Grammaticality	3	4	4	"·          " at the beginning of (1), sentece 2 + 3 describe a term without using a whole sentence	
Non-Redundancy	3	4	4		
Referential Clarity	4	3	3		
Focus	2	3	5		
Structure	1	4	5		
Coherence	2	2	4		
Readability	4	3	3		
Information Content	3	3	5		
Spelling	5	5	3		
Length	3	3	2		
Overall Quality	2	4	5		
