1042	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	4	3	3	
Referential Clarity	4	2	3	
Focus	3	4	4	
Structure	4	4	3	
Coherence	3	5	3	
Readability	3	5	4	
Information Content	3	5	2	
Spelling	4	3	5	
Length	4	4	4	
Overall Quality	3	5	3	
