1011	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	5	
"Non-Redundancy"	5	5	4	
"Referential Clarity"	3	5	3	"The abbreviation LD is not further explained/defined. The 4th sentence the phrase “Parents like that” is not clear where it refers to"
"Focus"	3	5	3	"I think it is not focused on homeschooling of TWO children as claimed as topic, rather on homeschooling in general"
"Structure"	4	5	4	
"Coherence"	5	4	3	
"Readability"	5	4	4	
"Information Content"	5	5	4	
"Spelling"	5	4	4	
"Length"	5	5	5	
"Overall Quality"	4	5	3	
