1024	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	2	5	
Non-Redundancy	5	2	3	
Referential Clarity	4	2	4	
Focus	3	3	4	
Structure	3	3	4	
Coherence	4	2	3	
Readability	5	1	4	
Information Content	4	4	4	
Spelling	5	1	5	
Length	1	5	5	100 chars left to use
Overall Quality	3	2	4	
