1041	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	4	2	4	
Referential Clarity	2	3	3	
Focus	2	5	3	
Structure	4	5	3	
Coherence	2	5	4	
Readability	3	4	4	
Information Content	4	4	4	
Spelling	5	3	5	
Length	4	1	3	
Overall Quality	3	5	4	
