1032	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high)	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	2	5	5	The last sentence is a duplicate.
Referential Clarity	1	4	5	"""These are the"", ""They may be in"""
Focus	2	3	4	
Structure	3	3	3	
Coherence	3	3	4	
Readability	3	2	3	
Information Content	3	3	2	
Spelling	4	3	3	
Length	2	4	3	too long
Overall Quality	2	3	4	
