1022	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	2	5	"Z. 6 : kein vollständiger Satz; ansonsten viele Imperative, aber das ist ok, denn sie können als Ratschlag verstanden werden"
"Non-Redundancy"	5	3	5	
"Referential Clarity"	3	5	5	"Z.4: Wer ist mit “her/him” gemeint? Z.6: fehlendes Subjekt"
"Focus"	5	5	5	
"Structure"	4	5	5	
"Coherence"	5	5	5	
"Readability"	4	5	5	
"Information Content"	4	5	5	"wegen Z. 6 ein Punkt Abzug"
"Spelling"	5	1	5	
"Length"	5	2	2	
"Overall Quality"	4	5	5	
