1039	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	5	
Referential Clarity	4	5	5	It is not clear what PTA is
Focus	4	5	3	Not focussing much on the parents involvement
Structure	4	4	3	
Coherence	5	4	3	
Readability	5	4	5	
Information Content	3	5	4	The sentences 3 and 4 are not delivering information
Spelling	4	4	5	The first word of the 4th sentence is not uppercased. Coding errors in the first sentence
Length	5	5	5	
Overall Quality	4	5	3	
