1017	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	5	
Non-Redundancy	5	5	4	
Referential Clarity	2	5	4	The explanation what LEA is (last sentence). Not clear what process is meant in the 5th sentence. “This means” in the 4th sentence is unclear
Focus	5	5	3	
Structure	5	4	4	
Coherence	4	4	3	
Readability	5	4	5	
Information Content	4	5	4	No gain of information in the 5th sentence
Spelling	5	4	5	
Length	4	5	4	
Overall Quality	4	5	4	
