1029	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	3	4	
Non-Redundancy	4	5	4	
Referential Clarity	3	4	5	
Focus	3	4	4	
Structure	4	4	4	
Coherence	4	4	4	
Readability	4	4	5	
Information Content	4	5	4	
Spelling	4	3	4	
Length	4	3	3	
Overall Quality	4	5	5	
