1007	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	5	4	4	
Non-Redundancy	2	5	5	First sentences have nearly the same information, so the summary could be shorter
Referential Clarity	3	5	5	Sometimes it is not clear what is in the past and what about adults, also the fifth sentence has no meaning to the rest
Focus	4	4	4	
Structure	2	4	4	Sometimes it is not clear what is in the past and what about adults, also the fifth sentence has no meaning to the rest
Coherence	2	4	3	Sometimes it is not clear what is in the past and what about adults, also the fifth sentence has no meaning to the rest
Readability	5	4	5	
Information Content	3	3	4	
Spelling	5	4	4	
Length	4	4	5	First sentences have nearly the same information, so the summary could be shorter
Overall Quality	3	5	4	
