1001	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	4	5	
"Non-Redundancy"	5	5	5	
"Referential Clarity"	5	2	5	
"Focus"	5	4	4	
"Structure"	3	4	4	"Summary starts with nutrition, continues with trainings and ends with nutrition again."
"Coherence"	5	4	4	
"Readability"	5	4	5	
"Information Content"	4	5	5	"6th sentence holds no relevant information content"
"Spelling"	3	4	5	"Fragment word “dx” at the end of the 4th sentence!"
"Length"	5	4	5	
"Overall Quality"	5	5	3	
