1010	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	2	4	
Non-Redundancy	4	4	4	
Referential Clarity	5	4	4	
Focus	4	5	4	
Structure	4	4	4	
Coherence	3	4	4	last sentence not conjunct to the rest of the text
Readability	4	4	4	
Information Content	4	4	4	
Spelling	4	4	4	
Length	4	4	4	
Overall Quality	3	4	4	Last sentence worsened the overall quality
