1010	Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)	Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)	Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) 	Reasons/comments (free text)
Grammaticality	4	4	4	
Non-Redundancy	5	5	5	
Referential Clarity	3	5	5	Abbreviations and deep knowledge makes it hard to understand, maybe because of topic
Focus	4	4	4	
Structure	2	4	4	From US to Ukraine to some law - very confusing
Coherence	2	4	3	From US to Ukraine to some law - very confusing
Readability	4	4	5	One very long sentence
Information Content	2	3	4	From US to Ukraine to some law - very confusing
Spelling	4	4	4	
Length	5	4	5	
Overall Quality	3	5	4	
