1035	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	2	5	
"Referential Clarity"	5	2	5	
"Focus"	1	5	5	"Das Thema ist nicht klar, gemeinsam ist nur, dass Kinder unterstützt werden sollen; Z.3 und 4 suggerieren ein ganz falsches Thema"
"Structure"	1	2	5	"ein “abba”-Schema ist nicht sinnvoll und stiftet sehr viel Verwirrung (gerade der Sprung von Z.2 zu Z.3)"
"Coherence"	2	2	5	"immerhin die Sätze in der Mitte hängen zusammen"
"Readability"	2	2	5	"Komisch zu lesen wegen der schon genannten Sprünge"
"Information Content"	5	2	5	
"Spelling"	5	2	5	
"Length"	4	2	2	
"Overall Quality"	2	5	5	"Da es nicht klar ist, worum es in der Summary eigentlich geht, kann man die ja vorhandenen Informationen nicht richtig nutzen"
