1012	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	4	4	4	"In the last sentence it has to be ""keep"" instead of ""keeping"""
"Non-Redundancy"	5	5	4	
"Referential Clarity"	3	5	5	"No resolution of ""those"" in the 2nd sentence"
"Focus"	5	5	4	
"Structure"	4	4	4	
"Coherence"	4	4	4	"No good relationship between the sentences"
"Readability"	4	4	5	
"Information Content"	3	5	5	"No information gained in the 2nd sentence"
"Spelling"	5	4	4	
"Length"	5	5	5	
"Overall Quality"	4	5	4	
