1013	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	5	2	5	
"Non-Redundancy"	5	3	5	
"Referential Clarity"	4	5	5	"Z.4: Was ist mit “other occasions” gemeint?"
"Focus"	4	5	5	"ich war ein wenig verwirrt von den “homeschool support groups” in Z. 3"
"Structure"	3	5	5	"der Anfang ist sehr abrupt"
"Coherence"	4	5	5	
"Readability"	4	5	5	
"Information Content"	4	5	5	
"Spelling"	5	1	5	
"Length"	3	2	2	
"Overall Quality"	4	5	5	
