1019	"Score (1=very poor,2=poor,3=barely acceptable,4=good,5=very good)"	"Weight (1=completely unimportant, 2= unimportant, 3= indifferent, 4= important, 5=absolutely important)"	"Confidence  (1=very low, 2= low, 3= half sure, 4= high, 5=very high) "	"Reasons/comments (free text)"
"Grammaticality"	3	1	5	"Z.4, Z.7: unvollständige Sätze"
"Non-Redundancy"	5	1	5	
"Referential Clarity"	2	2	5	"Z. 2, 3, 5, 7"
"Focus"	1	2	5	"Nur in Z. 4 direkter Bezug erkennbar"
"Structure"	1	2	5	
"Coherence"	1	2	5	
"Readability"	1	2	5	
"Information Content"	1	5	5	"Z. 6 enthält als einziges wirkliche Information, aber diese ist nicht verständlich im Zusammenhang"
"Spelling"	5	1	5	
"Length"	2	1	2	
"Overall Quality"	1	5	5	
